!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
"ignore	"IGNORE
gaurishankar	GAURI SHANKAR
gautam	GAUTAM
gautama	GAUTAMA
gavaskar	GAVASKAR
gaya	GAYA
gaya,	GAYA,
gayakwad	GAYAKWAD
gayatri	GAYATRI
gazipur	GAZIPUR
gbm4ibx	GBM4IBX
gbmappingsmall	GBMAPPINGSMALL
gedi,	GEDI,
gehlot	GEHLOT
gelderland	GELDERLAND
gemini	GEMINI
gender	GENDER
general	GENERAL
generation	GENERATION
genesis	GENESIS
genital	GENITAL
genre	GENRE
genres	GENRE +(s)
geo-stub	GEO STUB
geobox	GEOBOX
geobox2	GEOBOX2
geographic	GEOGRAPHIC
geography	GEOGRAPHY
geogroup	GEOGROUP
geological	GEOLOGICAL
geologist	GEOLOGIST
geometry	GEOMETRY
george	GEORGE
george,	GEORGE,
georgia	GEORGIA
georgian	GEORGIAN
georgiaphysiology	GEORGIA PHYSIOLOGY
geosouthasia	GEOSOUTHASIA
geotemplate	GEOTEMPLATE
geotemplate/lang	GEOTEMPLATE/LANG
german	GERMAN
german-language	GERMAN LANGUAGE
germanium	GERMANIUM
germany	GERMANY
gestapo	GESTAPO
gestational	GESTATIONAL
get	GET
gezer	GEZER
gfdl	GFDL
ghadhasaru	GHADHASARU
ghaghara	GHAGHARA
ghalib	GHALIB
ghana	GHANA
ghanashyam	GHANA SHYAM
ghandla	GHANDLA
ghangad	GHANGAD
ghanshyam	GHANSHYAM
ghanshyamsinh	GHANSHYAMSINH
ghar	GHAR
ghari	GHARI
gharial	GHARIAL
gharib	GHARIB
ghat	GHAT
ghati	GHATI
ghatlodiya	GHATLODIYA
ghatotkacha	GHATOTKACHA
ghats	GHAT +(s)
ghavri	GHAVRI
ghayal	GHAYAL
ghazal	GHAZAL
ghaziabad	GHAZIABAD
ghaziabad,	GHAZIABAD,
ghed	GHED
ghee	GHEE
ghela	GHELA
ghelo	GHELO
ghelubhai	GHELUBHAI
gheranda	GHERANDA
ghia	GHIA
ghodbunder	GHODBUNDER
ghodi	GHODI
ghogha	GHOGHA
ghor	GHOR
ghosh	GHOSH
ghoshal	GHOSHAL
ghum,	GHUM,
ghumar	GHUMAR
ghumli	GHUMLI
ghunteli	GHUNTELI
giant	GIANT
gibraltar	GIBRALTAR
gibran	GIBRAN
gift	GIFT
gigantea	GIGANTEA
gijubhai	GIJUBHAI
gin	GIN
ginger	GINGER
gir	GIR
gira	GIRA
giraffe	GIRAFFE
girdharlal	GIRDHARLAL
giri	GIRI
giridih	GIRIDIH
girija	GIRIJA
girish	GIRISH
girna	GIRNA
girnar	GIRNAR
git	GIT
gita	GITA
gitanjali	GITANJALI
giuseppe	GIUSEPPE
giza	GIZA
gl	GL
glacier	GLACIER
gland	GLAND
global	GLOBAL
globalization	GLOBALIZATION
globals	GLOBAL +(s)
glock	GLOCK
glottolink	GLOTTOLINK
glottolog	GLOTTOLOG
gmail	GMAIL
gnu	GNU
go	GO
goa	GOA
goair	GOAIR
goalpara	GOALPARA
goat	GOAT
goatee	GOATEE
gobind	GOBIND
gobioff	GOBIOFF
god	GOD
godavari	GODAVARI
godbole	GODBOLE
godda	GODDA
godhead	GODHEAD
godhra	GODHRA
godse	GODSE
gogh	GOGH
gogoi	GOGOI
gohelwar	GOHELWAR
gohil	GOHIL
gohilwad	GOHILWAD
gokhale	GOKHALE
gokul	GOKUL
gola	GOLA
goladara	GOLADARA
golaghat	GOLA GHAT
golay,	GOLAY,
gold	GOLD
golden	GOLDEN
goldfish	GOLD FISH
goldman	GOLDMAN
golfer	GOLFER
golghar	GOLGHAR
golibar	GOLIBAR
gomai	GOMAI
gomati	GOMATI
gomti	GOMTI
gomukh	GOMUKH
gomukhasana	GOMUKH ASANA
gonda	GONDA
gonda,	GONDA,
gondal	GONDAL
gondal,	GONDAL,
gongylophis	GONGYLOPHIS
good	GOOD
goodison	GOODISON
google	GOOGLE
googol	GOOGOL
gop	GOP
gopachal	GOPACHAL
gopal	GOPAL
gopaldas	GOPALDAS
gopalganj	GOPAL GANJ
gopalkrishna	GOPAL KRISHNA
gopinath	GOPINATH
gopipura	GOPIPURA
gopnath	GOPNATH
gor	GOR
gorai	GORAI
gorakhnath	GORAKHNATH
gorakhpur	GORAKHPUR
goregaon	GOREGAON
gorkha	GORKHA
gosala	GOSALA
goshawk	GOSHAWK
gospel	GOSPEL
goswami	GOSWAMI
gota,	GOTA,
gout	GOUT
govardhanram	GOVARDHANRAM
governing	GOVERNING
government	GOVERNMENT
governors	GOVERNORS
govind	GOVIND
govindbhai	GOVIND BHAI
govindghat	GOVIND GHAT
gozaria	GOZARIA
gpl-lic	GPL LIC
grading	GRADING
graf	GRAF
graham	GRAHAM
graharipu	GRAHARIPU
gram	GRAM
gramgeeta	GRAMGEETA
gramjivan	GRAMJIVAN
grammar	GRAMMAR
grand	GRAND
grandis	GRANDIS
granth	GRANTH
grants	GRANTS
granulatus	GRANULATUS
granville	GRANVILLE
grape	GRAPE
grapheme	GRAPHEME
graphical	GRAPHICAL
grass	GRASS
grassbird	GRASS BIRD
grasslands	GRASS LAND +(s)
gratitude	GRATITUDE
graupel	GRAUPEL
gravitational	GRAVITATIONAL
gravity	GRAVITY
gray	GRAY
great	GREAT
greater	GREATER
greatest	GREATEST
grebe	GREBE
greece	GREECE
greek	GREEK
green	GREEN
greenhouse	GREEN HOUSE
gregorian	GREGORIAN
grenada	GRENADA
grenadiers	GRENADIERS
grewia	GREWIA
grey	GREY
griddharaj	GRIDDHARAJ
grin	GRIN
grishneshwar	GRISHNESHWAR
groningen	GRONINGEN
grotto	GROTTO
ground	GROUND
grounds	GROUND +(s)
group	GROUP
groups	GROUP +(s)
groveonline	GROVEONLINE
growth	GROWTH
grypotyphlops	GRYPOTYPHLOPS
gsat	GSAT
gsfc	GSFC
gu	GU
gu-0	GU 0
gu-1	GU 1
gu-2	GU 2
gu-3	GU 3
gu-4	GU 4
gu-n	GU N
guam	GUAM
guan	GUAN
guanajuato	GUANAJUATO
guang	GUANG
guarantee	GUARANTEE
guards	GUARDS
guatemala	GUATEMALA
gucci	GUCCI
guerrero	GUERRERO
guevara	GUEVARA
gufa	GUFA
guhar	GUHAR
guhyeshwari	GUHYESHWARI
guiana	GUIANA
guianensis	GUIANENSIS
guide	GUIDE
guillotine	GUILLOTINE
guinea	GUINEA
guinea-bissau	GUINEA BISSAU
gujarat	GUJARAT
gujarat-geo-stub	GUJARAT GEO STUB
gujarati	GUJARATI
gujarati-language	GUJARATI LANGUAGE
gujjubhai	GUJJUBHAI
gujlit	GUJLIT
gujral	GUJRAL
gujrat	GUJRAT
gulab	GULAB
gulabdas	GULABDAS
gulam	GULAM
gulbarga	GULBARGA
gulf	GULF
gulmi	GULMI
gulzarilal	GULZARILAL
gum	GUM
gumla	GUMLA
gun	GUN
guna	GUNA
gunatitanand	GUNATITANAND
gunda	GUNDA
gundala	GUNDALA
gundappa	GUNDAPPA
gundiyali	GUNDIYALI
gunthli	GUNTHLI
guntur	GUNTUR
gunvant	GUNVANT
gunvantrai	GUNVANTRAI
gupt	GUPT
gupta	GUPTA
gurbachan	GURBACHAN
gurdaspur	GURDASPUR
gurdjieff	GURDJIEFF
gurdwara	GURDWARA
gurgaon	GURGAON
guru	GURU
gurudwara	GURUDWARA
guwahati	GUWAHATI
guyana	GUYANA
gvp	GVP
gwalior	GWALIOR
gyalshing	GYALSHING
gyanpur	GYANPUR
gymkhana	GYMKHANA
gyr	GYR
günter	GÜNTER
h-1b	H 1B
h.	H.
haber	HABER
habib	HABIB
hadith	HADITH
hadmatiya	HADMATIYA
hadron	HADRON
haemophilia	HAEMOPHILIA
haflong	HAFLONG
hafnium	HAFNIUM
hahn	HAHN
hai	HAI
haiku	HAIKU
hailakandi	HAILAKANDI
hainaut	HAINAUT
hair	HAIR
haiti	HAITI
hajapar	HAJAPAR
haji	HAJI
hajipir	HAJIPIR
hajipur	HAJIPUR
hajiro	HAJIRO
hajj	HAJJ
hal	HAL
halar	HALAR
haldarvas	HALDARVAS
haldighati	HALDIGHATI
halenda	HALENDA
hale–bopp	HALE–BOPP
halite	HALITE
halle	HALLE
halloween	HALLOWEEN
hallows	HALLOWS
halogen	HALOGEN
halol	HALOL
halva	HALVA
halvad	HALVAD
hame	HAME
hamid	HAMID
hamilton	HAMILTON
hamirpur	HAMIRPUR
hamirpur,	HAMIRPUR,
hamirsar	HAMIRSAR
hampar	HAMPAR
hampi	HAMPI
hampshire	HAMPSHIRE
hamsat	HAMSAT
hamta	HAMTA
hamza	HAMZA
hand	HAND
handbook	HAND BOOK
handicapped	HANDICAPPED
handler	HANDLER
handler/blacklist	HANDLER/BLACKLIST
handler/config	HANDLER/CONFIG
handler/data	HANDLER/DATA
handler/shared	HANDLER/SHARED
hands/numdisp/frac	HANDS/NUMDISP/FRAC
hands/numdisp/frac0	HANDS/NUMDISP/FRAC0
hands/numdisp/frac1	HANDS/NUMDISP/FRAC1
handvo	HANDVO
hangal	HANGAL
hanging	HANGING
hangpan	HANGPAN
hansa	HANSA
hansot	HANSOT
hanuman	HANUMAN
hanumangarh	HANUMANGARH
hanumanpur,	HANUMANPUR,
hapur	HAPUR
har	HAR
harald	HARALD
haranbari	HARANBARI
harbour	HARBOUR
harda	HARDA
hardoi	HARDOI
hardwar	HARDWAR
hardware	HARDWARE
hardy	HARDY
hare	HARE
harela	HARELA
hari	HARI
haribhadra	HARI BHADRA
haribhai	HARI BHAI
haridwar	HARIDWAR
harij	HARIJ
harikrishna	HARI KRISHNA
harilal	HARILAL
harindra	HARINDRA
hariprasad	HARI PRASAD
haripura	HARIPURA
harir	HARIR
harish	HARISH
harishchandra	HARISH CHANDRA
harivallabh	HARI VALLABH
harivamsa	HARIVAMSA
harivansh	HARIVANSH
harji	HARJI
harkisan	HARKISAN
harley-davidson	HARLEY DAVIDSON
harmadiya	HARMADIYA
harold	HAROLD
harpal	HARPAL
harrier	HARRIER
harrison	HARRISON
harry	HARRY
harsh	HARSH
harsh4101991	HARSH4101991
harshaali	HARSHAALI
harshal	HARSHAL
harshida	HARSHIDA
harshnath	HARSH NATH
harsol	HARSOL
hart	HART
haruki	HARUKI
harvard	HARVARD
haryana	HARYANA
haryanvi	HARYANVI
has	HAS
hasan	HASAN
hasao	HASAO
hasmukh	HASMUKH
hasmukhbhai	HASMUKH BHAI
hassan	HASSAN
hassan,	HASSAN,
hassium	HASSIUM
hasta	HASTA
hastinapur	HASTINAPUR
hatha	HATHA
hathiagor	HATHIAGOR
hathigadh	HATHIGADH
hathmati	HATHMATI
hathras	HATHRAS
hatice	HATICE
hatkoti	HATKOTI
hatnote	HATNOTE
haumea	HAUMEA
haveli	HAVELI
haveri	HAVERI
hawa	HAWA
hawai,	HAWAI,
hawaii	HAWAII
hawk-cuckoo	HAWK CUCKOO
hawk-eagle	HAWK EAGLE
hawthorns	HAWTHORNS
hayagriva	HAYAGRIVA
hazara	HAZARA
hazare	HAZARE
hazari	HAZARI
hazaribagh	HAZARIBAGH
hazira	HAZIRA
hazrat	HAZRAT
hcards	HCARD* +(s)
header	HEADER
headerbar	HEADERBAR
heading	HEADING
health	HEALTH
healthy	HEALTHY
hearing	HEARING
heat	HEAT
heatcapacity	HEATCAPACITY
heath	HEATH
hebrew	HEBREW
hectare	HECTARE
hedgewar	HEDGEWAR
heera	HEERA
heidi	HEIDI
height	HEIGHT
heinrich	HEINRICH
helen	HELEN
helicopter	HELICOPTER
heliotropism	HELIOTROPISM
helium	HELIUM
hell	HELL
help	HELP
helpbox	HELPBOX
hemachandra	HEMACHANDRA
hemant	HEMANT
hemchandra	HEMCHANDRA
hemis	HEMIS
hemkund	HEMKUND
hemophilia	HEMOPHILIA
hemu	HEMU
hen	HEN
henrik	HENRIK
henry	HENRY
herald	HERALD
herbicide	HERBICIDE
herculebot	HERCULEBOT
heritage	HERITAGE
herodotus	HERODOTUS
heron	HERON
herzegovina	HERZEGOVINA
hess's	HESS'S
hexandra	HEXANDRA
hi	HI
hi-0	HI 0
hi-1	HI 1
hi-2	HI 2
hi-3	HI 3
hi-4	HI 4
hi-n	HI N
hi-power	HI POWER
hidalgo	HIDALGO
hidden	HIDDEN
hide	HIDE
hidimba	HIDIMBA
high	HIGH
high-risk	HIGH RISK
high-use	HIGH USE
higher	HIGHER
highlight	HIGH LIGHT
highlight/core	HIGHLIGHT/CORE
highway	HIGHWAY
highways	HIGHWAY +(s)
hijra	HIJRA
hiking	HIKING
hill	HILL
hill,	HILL,
hillary	HILLARY
hillock	HILLOCK
hills	HILL +(s)
hills,	HILLS,
hillsborough	HILLSBOROUGH
himachal	HIMACHAL
himalaya	HIMALAYA
himalayan	HIMALAYAN
himalayas	HIMALAYA +(s)
himanshi	HIMANSHI
himatnagar	HIMATNAGAR
himayat	HIMAYAT
himesh	HIMESH
himmler	HIMMLER
hind	HIND
hindaun	HINDAUN
hindi	HINDI
hindi-language	HINDI LANGUAGE
hindon	HINDON
hindu	HINDU
hinduism	HINDUISM
hindus	HINDU +(s)
hindustan	HINDUSTAN
hindustani	HINDUSTANI
hindu–arabic	HINDU–ARABIC
hinganghat	HINGANGHAT
hinglaj	HINGLAJ
hingoli	HINGOLI
hippopotamus	HIPPOPOTAMUS
hirakud	HIRAKUD
hiran	HIRAN
hiravadi	HIRAVADI
hiroshima	HIROSHIMA
hirubhai	HIRUBHAI
hirwani	HIRWANI
his	HIS
hisar	HISAR
hispanica	HISPANICA
historic	HISTORIC
history	HISTORY
history,	HISTORY,
history/output	HISTORY/OUTPUT
hitendra	HITENDRA
hitler	HITLER
hitopadesha	HITOPADESHA
hiv/aids	HIV/AIDS
hlist	HLIST
ho	HO
hockey	HOCKEY
hoe	HOE
hoi	HOI
hold	HOLD
hole	HOLE
holi	HOLI
holiday	HOLIDAY
holiday/date	HOLIDAY/DATE
holland	HOLLAND
holmium	HOLMIUM
homa	HOMA
homai	HOMAI
home	HOME
homeopathy	HOMEOPATHY
homi	HOMI
homosexuality	HOMOSEXUALITY
honduras	HONDURAS
honey	HONEY
hong	HONG
hooghly	HOOGHLY
hookah	HOOKAH
hoopoe	HOOPOE
hope	HOPE
hormone	HORMONE
horned	HORNED
horse	HORSE
horsfield's	HORSFIELD'S
horst	HORST
hosdurg	HOSDURG
hoshangabad	HOSHANGABAD
hoshiar	HOSHIAR
hoshiarpur	HOSHIARPUR
hospital	HOSPITAL
hotcat	HOTCAT
hotel	HOTEL
hotel,	HOTEL,
hotels	HOTEL +(s)
hotspur	HOTSPUR
houbara	HOUBARA
hour	HOUR
house	HOUSE
houssay	HOUSSAY
houston	HOUSTON
how	HOW
how-to	HOW TO
howard	HOWARD
howdah	HOWDAH
howrah	HOWRAH
hoysala	HOYSALA
hr	HR
hrithik	HRITHIK
hsb	HSB
htmlbuilder	HTMLBUILDER
hu	HU
huang	HUANG
hudgens	HUDGENS
hudhud	HUDHUD
hudson	HUDSON
hugh	HUGH
hughes	HUGHES
hugo.arg	HUGO.ARG
hull	HULL
human	HUMAN
humanitarian	HUMANITARIAN
humayun	HUMAYUN
humayun's	HUMAYUN'S
humla	HUMLA
humor	HUMOR
humorists	HUMORISTS
humphry	HUMPHRY
hun	HUN
huna	HUNA
hundru	HUNDRU
hundur	HUNDUR
hungary	HUNGARY
hungry	HUNGRY
hunshi	HUNSHI
hunshilal	HUNSHILAL
hurriyat	HURRIYAT
husain	HUSAIN
husbandry	HUSBANDRY
hussain	HUSSAIN
hutheesing	HUTHEESING
hyderabad	HYDERABAD
hydrocarbon	HYDROCARBON
hydrogen	HYDROGEN
hydroplane	HYDROPLANE
hydrotropism	HYDROTROPISM
hyena	HYENA
hygiene	HYGIENE
hymns	HYMNS
i	I
i.	I.
i18n	I18N
iaaf	IAAF
iafd	IAFD
ian	IAN
iast	IAST
ibn	IBN
icd10	ICD10
icd9	ICD9
ice	ICE
iceland	ICELAND
ices2csharp	ICES2CSHARP
ichharam	ICHHARAM
icici	ICICI
icon	ICON
icon/data	ICON/DATA
icon2	ICON2
id	ID
idaho	IDAHO
idar	IDAR
ideal	IDEAL
identifying	IDENTIFYING
ideogram	IDEOGRAM
idiom	IDIOM
idioma-bot	IDIOMA BOT
idli	IDLI
idukki	IDUKKI
iem4ibx	IEM4IBX
if	IF
ifarticle	IFARTICLE
ifnotempty	IFNOTEMPTY
ifsubst	IFSUBST
igatpuri	IGATPURI
ignace	IGNACE
ii	II
iii	III
ikhar	IKHAR
ila	ILA
ilaiyaraaja	ILAIYARAAJA
illicium	ILLICIUM
illinois	ILLINOIS
image	IMAGE
images	IMAGE +(s)
imagica	IMAGICA
imdb	IMDB
immanuel	IMMANUEL
imperial,	IMPERIAL,
imphal	IMPHAL
implant	IMPLANT
importance	IMPORTANCE
importance/entry	IMPORTANCE/ENTRY
importance/icon	IMPORTANCE/ICON
importance/row	IMPORTANCE/ROW
improve	IMPROVE
imran	IMRAN
in	IN
ina	INA
inayat	INAYAT
inc.	INC.
inca	INCA
incident	INCIDENT
incorporating	INCORPORATING
incorrect	INCORRECT
increasenegative	INCREASENEGATIVE
ind	IND
indeevar	INDEEVAR
independence	INDEPENDENCE
independent	INDEPENDENT
index	INDEX
index/getchar	INDEX/GETCHAR
india	INDIA
india-hist-stub	INDIA HIST STUB
india/meta/color	INDIA/META/COLOR
indian	INDIAN
indiana	INDIANA
indica	INDICA
indies	INDIES
indigo	INDIGO
indira	INDIRA
indium	INDIUM
indo-european	INDO EUROPEAN
indo-pakistani	INDO PAKISTANI
indonesia	INDONESIA
indoor	INDOOR
indore	INDORE
indra	INDRA
indra,	INDRA,
indrajit	INDRAJIT
indraprastha	INDRAPRASTHA
indravati	INDRAVATI
indrayani	INDRAYANI
indroda	INDRODA
indulal	INDULAL
indus	INDUS
industrial	INDUSTRIAL
industrialists	INDUSTRIALISTS
industry	INDUSTRY
infantry	INFANTRY
infarction	INFARCTION
infection	INFECTION
infections	INFECTION +(s)
infinity	INFINITY
inflation	INFLATION
influenza	INFLUENZA
info	INFO
infobox	INFOBOX
infobox3cols	INFOBOX3COLS
infoboximage	INFOBOX IMAGE
information	INFORMATION
infrared	INFRARED
initial	INITIAL
injuries	INJURIES
inline	INLINE
inquilab	INQUILAB
inrconvert	INRCONVERT
inrconvert/currentrate	INRCONVERT/CURRENTRATE
ins	INS
insas	INSAS
insead	INSEAD
insomnia	INSOMNIA
installation	INSTALLATION
institut	INSTITUT
institute	INSTITUTE
institutions	INSTITUTIONS
instrument	INSTRUMENT
instrument/classification	INSTRUMENT/CLASSIFICATION
instrument/color	INSTRUMENT/COLOR
instruments	INSTRUMENT +(s)
insurance	INSURANCE
integrity	INTEGRITY
intel	INTEL
intellectual	INTELLECTUAL
intelligence	INTELLIGENCE
interested	INTERESTED
interferometer	INTERFEROMETER
internal	INTERNAL
international	INTERNATIONAL
internet	INTERNET
interview	INTERVIEW
intricate	INTRICATE
intro	INTRO
introduction	INTRODUCTION
invalid	INVALID
investment	INVESTMENT
invitation	INVITATION
io	IO
iodine	IODINE
iora	IORA
iowa	IOWA
ip	IP
ipa	IPA
ipa-all	IPA ALL
ipa-en	IPA EN
ipa-fa	IPA FA
ipa-hns	IPA HNS
ipa-ml	IPA ML
ipa-sa	IPA SA
ipa-sh	IPA SH
ipa/english	IPA/ENGLISH
ipablink	IPABLINK
ipac-en	IPAC EN
ipac-en/data	IPAC EN/DATA
ipac-en/phonemes	IPAC EN/PHONEMES
ipac-en/pronunciation	IPAC EN/PRONUNCIATION
ipac-ro/pronunciation	IPAC RO/PRONUNCIATION
ipad	IPAD
ipaslink	IPASLINK
ipod	IPOD
ipsum	IPSUM
ipv4	IPV4
iran	IRAN
irani	IRANI
iraq	IRAQ
iravan	IRAVAN
irc	IRC
ireland	IRELAND
irfan	IRFAN
iridium	IRIDIUM
irish	IRISH
iron	IRON
irony	IRONY
irvin	IRVIN
is	IS
isaac	ISAAC
isanpur	ISANPUR
isbn	ISBN
isbnt	ISBNT
isha	ISHA
ishaq	ISHAQ
ishwar	ISHWAR
isis	ISIS
islam	ISLAM
islamabad	ISLAMABAD
islamic	ISLAMIC
island	ISLAND
islands	ISLAND +(s)
islands/area	ISLANDS/AREA
islands/density	ISLANDS/DENSITY
islands/length	ISLANDS/LENGTH
ismail	ISMAIL
isnav	ISNAV
iso	ISO
isodate	ISODATE
isomer	ISOMER
isospin	ISOSPIN
israel	ISRAEL
iss	ISS
issues	ISSUES
isvalidpagename	ISVALIDPAGENAME
isxn	ISXN
it	IT
italic	ITALIC
italy	ITALY
itanagar	ITANAGAR
itc	ITC
item	ITEM
itis	ITIS
its	ITS
ittoop	ITTOOP
itza	ITZA
iucn	IUCN
iucn2009.2	IUCN2009.2
iucn2012.2	IUCN2012.2
iv	IV
ivana	IVANA
ivanka	IVANKA
ivory	IVORY
iwi	IWI
j.	J.
ja	JA
jaan	JAAN
jab	JAB
jabal,	JABAL,
jabalpur	JABALPUR
jack	JACK
jackal	JACKAL
jackfruit	JACK FRUIT
jackie	JACKIE
jackman	JACKMAN
jackson	JACKSON
jacobin	JACOBIN
jacques	JACQUES
jacuzzi	JACUZZI
jadav	JADAV
jadavpur	JADAVPUR
jadeja	JADEJA
jadunath	JADUNATH
jaffna	JAFFNA
jafrabad	JAFRABAD
jagadguru	JAGADGURU
jagadish	JAGADISH
jagadu	JAGADU
jagat	JAGAT
jagatsinghpur	JAGATSINGHPUR
jagdalpur	JAGDALPUR
jagdish	JAGDISH
jagdishchandra	JAGDISH CHANDRA
jaggery	JAGGERY
jaggi	JAGGI
jagya	JAGYA
jahan	JAHAN
jahangir	JAHANGIR
jai	JAI
jaigad	JAIGAD
jaigarh	JAIGARH
jail	JAIL
jaimini	JAIMINI
jain	JAIN
jainism	JAINISM
jaintia	JAINTIA
jaipur	JAIPUR
jaisalmer	JAISALMER
jaish	JAISH
jaishankar	JAISHANKAR
jajarkot	JAJARKOT
jajpur	JAJPUR
jakar	JAKAR
jakarta	JAKARTA
jakh	JAKH
jakhau	JAKHAU
jal	JAL
jalal	JALAL
jalalpore	JALALPORE
jalandhar	JALANDHAR
jalaram	JALARAM
jalebi	JALEBI
jalgaon	JALGAON
jalia	JALIA
jalisco	JALISCO
jalna	JALNA
jalna,	JALNA,
jalore	JALORE
jalpaiguri	JALPAIGURI
jam	JAM
jama	JAMA
jamadagni	JAMADAGNI
jamaica	JAMAICA
jambuda	JAMBUDA
jambudi	JAMBUDI
jambughoda	JAMBUGHODA
jambusar	JAMBUSAR
james	JAMES
james'	JAMES'
jamia	JAMIA
jamkhambhaliya	JAMKHAMBHALIYA
jammu	JAMMU
jammu–sialkot	JAMMU–SIALKOT
jamnagar	JAMNAGAR
jamsetji	JAMSETJI
jamshedpur	JAMSHEDPUR
jamtara	JAMTARA
jamui	JAMUI
jamun	JAMUN
jamvala	JAMVALA
jan	JAN
jana	JANA
janaka	JANAKA
janakpur	JANAKPUR
janamejaya	JANAMEJAYA
janata	JANATA
jancy	JANCY
jandbot	JANDBOT
janeiro	JANEIRO
jani	JANI
janjgir–champa	JANJGIR–CHAMPA
janki	JANKI
janmashtami	JANMASHTAMI
jannah	JANNAH
jantar	JANTAR
january	JANUARY
janvi	JANVI
janwo	JANWO
japamala	JAPAMALA
japan	JAPAN
japanese-language	JAPANESE LANGUAGE
jara,	JARA,
jaragli	JARAGLI
jarasandha	JARASANDHA
jardosh	JARDOSH
jariwala	JARIWALA
jarod,	JAROD,
jasdan	JASDAN
jashapar	JASHAPAR
jashe!	JASHE!
jashodaben	JASHODABEN
jashpur	JASHPUR
jasmalnathji	JASMALNATHJI
jasminum	JASMINUM
jasuben	JASUBEN
jaswant	JASWANT
jat	JAT
jatashankar	JATASHANKAR
jatayu	JATAYU
jaundice	JAUNDICE
jaunpur	JAUNPUR
jaunpur,	JAUNPUR,
java	JAVA
javagal	JAVAGAL
jawahar	JAWAHAR
jawaharlal	JAWAHARLAL
jawaharnagar	JAWAHAR NAGAR
jay	JAY
jayaben	JAYABEN
jayadratha	JAYADRATHA
jayant	JAYANT
jayanti	JAYANTI
jayapataka	JAYAPATAKA
jayaprakash	JAYAPRAKASH
jayasimha	JAYASIMHA
jaykorbai	JAYKORBAI
jaynagar	JAYNAGAR
jazeera	JAZEERA
jct/city	JCT/CITY
jean-jacques	JEAN JACQUES
jeev	JEEV
jeevan	JEEVAN
jehanabad	JEHANABAD
jeita	JEITA
jeliyabhai	JELIYABHAI
jeolikot	JEOLIKOT
jersey	JERSEY
jerusalem	JERUSALEM
jesar	JESAR
jesse	JESSE
jessore	JESSORE
jesus	JESUS
jet	JET
jethabhai	JETHABHAI
jethabhai's	JETHABHAI'S
jethwa	JETHWA
jetlite	JETLITE
jetpur,	JETPUR,
jfblanc	JFBLANC
jhabua	JHABUA
jhajjar	JHAJJAR
jhala	JHALA
jhalawar	JHALAWAR
jhalod	JHALOD
jhanjhariya	JHANJHARIYA
jhansi	JHANSI
jharkhand	JHARKHAND
jharsuguda	JHARSUGUDA
jhaverchand	JHAVERCHAND
jhaveri	JHAVERI
jhilariya	JHILARIYA
jhinabhai	JHINABHAI
jhsbot	JHSBOT
jhudvadli	JHUDVADLI
jhula	JHULA
jhulasan	JHULASAN
jhulelal	JHULELAL
jhunjhunu	JHUNJHUNU
ji	JI
jiddu	JIDDU
jiggythakor	JIGGYTHAKOR
jigme	JIGME
jignesh	JIGNESH
jihad	JIHAD
jim	JIM
jimmy	JIMMY
jimutavahana	JIMUTAVAHANA
jind	JIND
jinnah	JINNAH
jintao	JINTAO
jinvijay	JINVIJAY
jiru	JIRU
jit	JIT
jivanam	JIVANAM
jivani	JIVANI
jivraj	JIVRAJ
jivram	JIVRAM
jn.	JN.
jnana	JNANA
jnanpith	JNANPITH
job	JOB
jodhpur	JODHPUR
jodia,	JODIA,
jog	JOG
jogeshwari	JOGESHWARI
joginder	JOGINDER
jogwad	JOGWAD
johar	JOHAR
john	JOHN
johnii	JOHNII
joker	JOKER
jon	JON
jongmyo	JONGMYO
jonk	JONK
jordan	JORDAN
jordiyali	JORDIYALI
jorhat	JORHAT
jorunn	JORUNN
jose,	JOSE,
jose77	JOSE77
joseph	JOSEPH
joshi	JOSHI
josé,	JOSÉ,
jote	JOTE
joule	JOULE
journal	JOURNAL
journalism	JOURNALISM
journalists	JOURNALISTS
jr.	JR.
jsoby	JSOBY
jstor/userbox	JSTOR/USERBOX
jubilee	JUBILEE
judaism	JUDAISM
judas	JUDAS
judo	JUDO
jugatram	JUGATRAM
juglans	JUGLANS
juhu	JUHU
jujube	JUJUBE
julian	JULIAN
julius	JULIUS
july	JULY
jumani	JUMANI
jumla	JUMLA
jummapatti	JUMMAPATTI
jumping	JUMPING
juna	JUNA
junafani	JUNAFANI
junagadh	JUNAGADH
juncea	JUNCEA
junction	JUNCTION
june	JUNE
jung	JUNG
jungle	JUNGLE
jupiter	JUPITER
jurisdiction	JURISDICTION
jurisprudence	JURISPRUDENCE
justice	JUSTICE
justicia	JUSTICIA
justin	JUSTIN
jvarasura	JVARASURA
jybot	JYBOT
jyeshtha	JYESHTHA
jyoti	JYOTI
jyotin	JYOTIN
jyotindra	JYOTINDRA
jyotirao	JYOTIRAO
jyotirlinga	JYOTIRLINGA
jyotirlingas	JYOTIRLINGA +(s)
jyotirmath	JYOTIRMATH
jyotish	JYOTISH
jyotsna	JYOTSNA
jøma	JØMA
k	K
k.	K.
ka	KA
kaajal	KAAJAL
kabaddi	KABADDI
kabir	KABIR
kabirdham	KABIR DHAM
kabirvad	KABIRVAD
kabul	KABUL
kachchh	KACHCHH
kachchhi	KACHCHHI
kachholi	KACHHOLI
kachori	KACHORI
kadana	KADANA
kadapa	KADAPA
kadeshwari	KADESHWARI
kadhi	KADHI
kadi,	KADI,
