!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
વિન્ડોઝ	વિ@@ ન્@@ ડો@@ ઝ
વિન્સેન્ટ	વિ@@ ન્@@ સે@@ ન્ટ
વિપશ્યના	વિ@@ પ@@ શ@@ ્ય@@ ના
વિભા	વિ@@ ભા
વિભાગ	વિભાગ
વિમળા	વિ@@ મ@@ ળા
વિમાન	વિ@@ માન
વિમાનમથક	વિ@@ માન@@ મથક
વિમાનવાહક	વિ@@ માન@@ વા@@ હ@@ ક
વિયેતનામ	વ@@ િયે@@ ત@@ નામ
વિયેતનામમાં	વ@@ િયે@@ ત@@ નામ@@ માં
વિરપુર	વિ@@ રપુર
વિરમગામ	વિ@@ રમ@@ ગામ
વિરાટ	વિ@@ રા@@ ટ
વિરાણી	વિ@@ રા@@ ણી
વિરાધ	વિ@@ રા@@ ધ
વિરામ	વિ@@ રામ
વિરામચિહ્નો	વિ@@ રામ@@ ચિહ્@@ નો
વિરાવળ	વિ@@ રાવળ
વિરુધુનગર	વિ@@ રુ@@ ધુ@@ નગર
વિરેન્દ્ર	વિ@@ રે@@ ન્દ્ર
વિરોધ	વિ@@ રો@@ ધ
વિરોધી	વિ@@ રો@@ ધ ⧺ી
વિલવણીકરણ	વિ@@ લ@@ વ@@ ણી@@ કરણ
વિલા	વિ@@ લા
વિલાયતખાં	વિ@@ લાય@@ ત@@ ખા@@ ં
વિલાયતી	વિ@@ લાય@@ તી
વિલાસ	વિ@@ લા@@ સ
વિલિયમ	વિ@@ લિયમ
વિલિયમ્સ	વિ@@ લ@@ િય@@ મ્સ
વિલિસ	વિ@@ લિ@@ સ
વિલુપ્ત	વિ@@ લુ@@ પ્ત
વિલુપ્પુરમ	વિ@@ લુ@@ પ્@@ પુરમ
વિલે	વિ@@ લે
વિલ્સન	વ@@ િલ્@@ સન
વિલ્હેલ્મ	વ@@ િલ્@@ હે@@ લ્@@ મ
વિવર	વિ@@ વર
વિવાદ	વિ@@ વાદ
વિવાદો	વિ@@ વાદ ⧺ો
વિવિધ	વિ@@ વિ@@ ધ
વિવેક	વિ@@ વે@@ ક
વિવેકાનંદ	વિ@@ વે@@ કા@@ નંદ
વિવેચક	વિ@@ વે@@ ચ@@ ક
વિશનસર	વિ@@ શન@@ સર
વિશાખાપટનમ	વિ@@ શા@@ ખા@@ પટ@@ નમ
વિશાલ-શેખર	વિ@@ શા@@ લ@@ -@@ શે@@ ખર
વિશિષ્ટ	વિ@@ શિ@@ ષ્@@ ટ
વિશેષ	વિ@@ શે@@ ષ
વિશ્લેષણ	વિશ્@@ લે@@ ષણ
વિશ્વ	વિશ્વ
વિશ્વકપ	વિશ્વ@@ ક@@ પ
વિશ્વકર્મા	વિશ્વ@@ કર્@@ મા
વિશ્વકોશ	વિશ્વ@@ કો@@ શ
વિશ્વધરોહર	વિશ્વ@@ ધ@@ રો@@ હર
વિશ્વના	વિશ્વ ⧺ના
વિશ્વનાથ	વિશ્વ@@ નાથ
વિશ્વની	વિશ્વ@@ ની
વિશ્વવિદ્યાલય	વિશ્વવિદ્યાલય
વિશ્વવિદ્યાલય,	વિશ્વ@@ વિદ્યા@@ લય@@ ,
વિશ્વવિદ્યાલયોની	વિશ્વ@@ વિદ્યા@@ લ@@ યો@@ ની
વિશ્વસનીય	વિશ્વ@@ સન@@ ીય
વિશ્વામિત્ર	વિશ્@@ વા@@ મિ@@ ત્ર
વિશ્વામિત્રી	વિશ્@@ વા@@ મિ@@ ત્ર ⧺ી
વિશ્વેશ	વિશ્વ@@ ેશ
વિષુવકાલ	વિ@@ ષ@@ ુ@@ વ@@ કા@@ લ
વિષે	વિ@@ ષ@@ ે
વિષ્ણુ	વિષ્ણુ
વિષ્ણુકુંડિન	વિષ્ણ@@ ુ@@ કુ@@ ંડ@@ િ@@ ન
વિષ્ણુપુર	વિષ્ણ@@ ુ@@ પુર
વિષ્ણુપ્રસાદ	વિષ્ણુ@@ પ્રસાદ
વિસંવાદિતા	વિ@@ સં@@ વા@@ દિ@@ તા
વિસનગર	વિ@@ સ@@ નગર
વિસાવદર	વિ@@ સા@@ વદર
વિસ્તાર	વિ@@ સ્તા@@ ર
વિસ્તારનો	વિ@@ સ્@@ તાર@@ નો
વિસ્તારો	વિ@@ સ્તા@@ ર ⧺ો
વિસ્તૃત	વિ@@ સ્@@ ત@@ ૃ@@ ત
વિસ્ફોટ	વિ@@ સ્@@ ફો@@ ટ
વી	વી
વી.	વી.
વીંજ	વી@@ ં@@ જ
વીજલપોર	વી@@ જલ@@ પોર
વીજસ્થિતિમાન	વી@@ જ@@ સ્થ@@ િ@@ તિ@@ માન
વીઝેડ	વી@@ ઝે@@ ડ
વીટન	વી@@ ટન
વીડી	વી@@ ડી
વીણા	વી@@ ણા
વીમો	વી@@ મ@@ ો
વીયર-કમ	વ@@ ીય@@ ર@@ -@@ ક@@ મ
વીર	વીર
વીરતા	વી@@ ર@@ તા
વીરપુર	વી@@ રપુર
વીરા	વી@@ રા
વીર્ય	વી@@ ર્ય
વીલેન	વી@@ લે@@ ન
વીલો	વી@@ લો
વીસલપુર	વી@@ સ@@ લપુર
વુ	વ@@ ુ
વુઝૂ	વુ@@ ઝ@@ ૂ
વુડ્સ	વુ@@ ડ્@@ સ
વુલ્ફગૅંગ	વુ@@ લ્@@ ફ@@ ગ@@ ૅ@@ ંગ
વૃંદાવન	વૃ@@ ંદા@@ વન
વૃક્ષ	વૃ@@ ક્ષ
વૃક્ષોની	વૃ@@ ક્ષ@@ ો@@ ની
વૃદ્ધી	વૃ@@ દ્@@ ધ@@ ી
વૃશ્ચિક	વૃ@@ શ્@@ ચિ@@ ક
વૃષભ	વૃ@@ ષ@@ ભ
વૅલી	વ@@ ૅ@@ લી
વૅલેન્શિયન	વ@@ ૅ@@ લેન્@@ શ@@ િયન
વૅલેન્શિયા	વ@@ ૅ@@ લેન્@@ શિયા
વેંકટરાઘવન	વે@@ ંક@@ ટ@@ રા@@ ઘ@@ વન
વેંગસારકર	વે@@ ંગ@@ સાર@@ કર
વેઇઝ	વે@@ ઇ@@ ઝ
વેકુર	વે@@ કુ@@ ર
વેક્યૂમ	વે@@ ક્@@ યૂ@@ મ
વેગડ	વે@@ ગ@@ ડ
વેગડા	વે@@ ગ@@ ડા
વેગડી	વે@@ ગ@@ ડ ⧺ી
વેગમાન	વે@@ ગ@@ માન
વેગાસ	વે@@ ગા@@ સ
વેજલપુર	વે@@ જ@@ લપુર
વેજળકા	વે@@ જળ@@ કા
વેડન્ઝડે	વે@@ ડ@@ ન્@@ ઝ@@ ડે
વેણીભાઈ	વે@@ ણી@@ ભાઈ
વેણુ	વે@@ ણુ
વેતાલ	વે@@ તાલ
વેદ	વેદ
વેદાંગ	વે@@ દા@@ ંગ
વેદાંત	વે@@ દા@@ ંત
વેદાંતના	વે@@ દા@@ ંત ⧺ના
વેધશાળા	વે@@ ધ@@ શાળા
વેન	વે@@ ન
વેનેઝુએલા	વે@@ ને@@ ઝુ@@ એ@@ લા
વેનેડિયમ	વે@@ ને@@ ડ@@ િયમ
વેનેસા	વે@@ ને@@ સા
વેન્ડરર્સ	વે@@ ન્ડ@@ ર@@ ર્સ
વેન્ડેટા	વે@@ ન્@@ ડે@@ ટા
વેન્ના	વે@@ ન્ના
વેપાર	વે@@ પાર
વેબ	વે@@ બ
વેબસાઇટ	વે@@ બ@@ સાઇ@@ ટ
વેબેક	વે@@ બે@@ ક
વેરાઇઝન	વે@@ રાઇ@@ ઝ@@ ન
વેરાવળ	વે@@ રાવળ
વેરિસાઇન	વે@@ રિ@@ સા@@ ઇન
વેલિંગ્ટન	વે@@ લિ@@ ંગ્@@ ટન
વેલી	વેલી
વેલેન્ટાઇન્સ	વે@@ લેન્@@ ટા@@ ઇન્@@ સ
વેલ્થ	વે@@ લ્@@ થ
વેલ્લોર	વે@@ લ્@@ લોર
વેલ્સ	વે@@ લ્સ
વેળાકોટ	વે@@ ળા@@ કોટ
વેળાવદર	વે@@ ળા@@ વદર
વેવ્સ,	વે@@ વ્@@ સ@@ ,
વેસ્ટ	વે@@ સ્ટ
વેસ્તાભાઈ	વે@@ સ્તા@@ ભાઈ
વૈંકયા	વૈ@@ ંક@@ યા
વૈકલ્પિક	વૈ@@ કલ્@@ પિ@@ ક
વૈજનાથ	વૈ@@ જ@@ નાથ
વૈજ્ઞાનિક	વૈ@@ જ્ઞા@@ નિક
વૈતરણા	વૈ@@ તર@@ ણા
વૈદિક	વૈ@@ દિ@@ ક
વૈદ્ય	વૈ@@ દ્ય
વૈદ્યનાથ	વૈ@@ દ@@ ્ય@@ નાથ
વૈવર્ત	વૈ@@ વર્@@ ત
વૈશાખ	વૈ@@ શા@@ ખ
વૈશાલી	વૈ@@ શા@@ લી
વૈશ્ય	વૈ@@ શ@@ ્ય
વૈશ્વિક	વૈ@@ શ્વિ@@ ક
વૈશ્વિકરણ	વૈ@@ શ્વિ@@ કરણ
વૈષ્ણવ	વૈ@@ ષ્ણ@@ વ
વૈષ્ણોદેવી	વૈ@@ ષ્ણ@@ ો@@ દે@@ વી
વોંધ	વો@@ ં@@ ધ
વોખા	વો@@ ખા
વોઘ	વો@@ ઘ
વોટ	વો@@ ટ
વોટર	વો@@ ટર
વોટસન	વો@@ ટ@@ સન
વોડકા	વો@@ ડ@@ કા
વોન્ટેડ	વો@@ ન્@@ ટેડ
વોર	વો@@ ર
વોરન	વો@@ ર@@ ન
વોરાર્લબર્ગ	વો@@ રા@@ ર્@@ લ@@ બર્ગ
વોર્ન	વો@@ ર્@@ ન
વોર્સ	વો@@ ર્સ
વોલ્ગા	વો@@ લ્@@ ગા
વોલ્ટ	વો@@ લ્@@ ટ
વોલ્ટર	વો@@ લ્@@ ટર
વોલ્વરહેમ્પ્ટન	વો@@ લ્@@ વર@@ હે@@ મ્પ્@@ ટન
વોલ્વો	વો@@ લ્@@ વો
વોલ્સ	વો@@ લ્સ
વોશિંગ્ટન	વો@@ શિ@@ ંગ્@@ ટન
વ્યંકટપતિ	વ્ય@@ ંક@@ ટ@@ પતિ
વ્યક્તિ	વ્ય@@ ક્તિ
વ્યક્તિ-સ્ટબ	વ્ય@@ ક્તિ@@ -@@ સ્ટબ
વ્યક્તિઓનું	વ્યક્તિ@@ ઓ@@ નું
વ્યક્તિત્વ	વ્યક્તિ@@ ત્વ
વ્યવસાય	વ્યવ@@ સા@@ ય
વ્યવસાયો	વ્યવ@@ સા@@ ય ⧺ો
વ્યવસ્થાપન	વ્યવ@@ સ્થ@@ ા@@ પ@@ ન
વ્યાકરણ	વ્યા@@ કરણ
વ્યાપાર	વ્યા@@ પાર
વ્યાયામ	વ્યા@@ યા@@ મ
વ્યારા	વ્ય@@ ારા
વ્યારાવાલા	વ્યા@@ રા@@ વાલા
વ્યાસ	વ્યાસ
વ્યોમકેશ	વ@@ ્યો@@ મ@@ કેશ
વ્રજ	વ@@ ્ર@@ જ
વ્રત	વ@@ ્ર@@ ત
વ્રતો	વ@@ ્ર@@ ત ⧺ો
વ્લાદિમીર	વ્@@ લા@@ દિ@@ મીર
વ્હાઈટ	વ્@@ હા@@ ઈ@@ ટ
શંકર	શંકર
શંકરલાલ	શં@@ કર@@ લાલ
શંકરસિંહ	શંકર@@ સિંહ
શંકરાચાર્ય	શં@@ કરા@@ ચાર્ય
શંકુ	શં@@ કુ
શંકુધારી	શં@@ કુ@@ ધાર ⧺ી
શંખ	શં@@ ખ
શંખેશ્વર	શં@@ ખે@@ શ્વર
શંભુદાન	શં@@ ભુ@@ દાન
શક	શ@@ ક
શકુની	શ@@ કુ@@ ની
શકૂર	શ@@ કૂ@@ ર
શક્કરખરો	શ@@ ક્@@ કર@@ ખ@@ રો
શક્કરપારા	શ@@ ક્@@ કર@@ પ@@ ારા
શક્કરીયાં	શ@@ ક્@@ કર@@ ીયા@@ ં
શક્તિપીઠ	શ@@ ક્તિ@@ પીઠ
શણગાર	શ@@ ણ@@ ગા@@ ર
શતપથ	શ@@ ત@@ પ@@ થ
શતાબ્દી	શ@@ તા@@ બ્@@ દી
શત્રુઘ્ન	શ@@ ત્ર@@ ુ@@ ઘ@@ ્@@ ન
શનિ	શન@@ િ
શનિદેવ	શ@@ નિ@@ દેવ
શનિદેવ,	શ@@ નિ@@ દેવ@@ ,
શનિવાર	શ@@ નિ@@ વાર
શબર	શ@@ બર
શબરી	શ@@ બર ⧺ી
શબ્દ	શ@@ બ્@@ દ
શબ્દકોશ	શ@@ બ્@@ દ@@ કો@@ શ
શબ્દસૃષ્ટિ	શ@@ બ્@@ દ@@ સ@@ ૃ@@ ષ્ટ@@ િ
શબ્દો	શ@@ બ્@@ દ ⧺ો
શમીમ	શ@@ મી@@ મ
શયદા	શ@@ ય@@ દા
શરણાઈ	શ@@ ર@@ ણા@@ ઈ
શરદ	શ@@ ર@@ દ
શરબત	શ@@ રબ@@ ત
શરાવતી	શ@@ રાવતી
શરીફ	શરી@@ ફ
શરીર	શરી@@ ર
શરીરવિજ્ઞાન	શરી@@ ર@@ વિજ્ઞાન
શર્મન	શ@@ ર્મ@@ ન
શર્મા	શર્મા
શલ્ય	શ@@ લ્@@ ય
શસ્ત્રો	શ@@ સ્@@ ત્ર@@ ો
શહર	શ@@ હર
શહાદા	શ@@ હા@@ દા
શહેર	શહેર
શહેરના	શહેર ⧺ના
શહેરી	શહેર ⧺ી
શહેરીકરણ	શ@@ હે@@ રી@@ કરણ
શહેરો	શહેર ⧺ો
શા	શા
શાંતનુ	શ@@ ાં@@ ત@@ ન@@ ુ
શાંતિ	શ@@ ાંતિ
શાંતિરક્ષક	શ@@ ાં@@ તિ@@ ર@@ ક્ષ@@ ક
શાકભાજી	શા@@ ક@@ ભા@@ જી
શાકાહારી	શા@@ કા@@ હ@@ ારી
શાજાપુર	શા@@ જાપુર
શાણપણ	શા@@ ણ@@ પ@@ ણ
શાપોરા	શા@@ પો@@ રા
શામલી	શા@@ મ@@ લી
શામળ	શા@@ મ@@ ળ
શામળદાસ	શા@@ મ@@ ળ@@ દાસ
શામળાજી	શા@@ મ@@ ળા@@ જી
શામા	શા@@ મા
શારદા	શ@@ ાર@@ દા
શાર્પ	શા@@ ર્@@ પ
શાલ	શા@@ લ
શાલીગ્રામ	શા@@ લી@@ ગ્રા@@ મ
શાળા	શાળા
શાસન	શા@@ સન
શાસ્ત્ર	શાસ્ત્ર
શાસ્ત્રી	શાસ્ત્ર ⧺ી
શાસ્ત્રીજી	શાસ્ત્ર@@ ી@@ જી
શાસ્ત્રીય	શાસ્ત્ર@@ ીય
શાહ	શાહ
શાહગઢ	શાહ@@ ગઢ
શાહજહાં	શાહ@@ જહા@@ ં
શાહજહાંપુર	શાહ@@ જહા@@ ં@@ પુર
શાહડોલ	શાહ@@ ડો@@ લ
શાહનો	શાહ@@ નો
શાહબુદ્દીન	શાહ@@ બુ@@ દ્દીન
શાહરૂખ	શા@@ હર@@ ૂ@@ ખ
શાહી	શાહ ⧺ી
શિંગણાપુર	શિ@@ ંગ@@ ણા@@ પુર
શિંગોડા	શિ@@ ંગો@@ ડા
શિંદખેડા	શિ@@ ંદ@@ ખેડા
શિંદે	શિ@@ ંદ@@ ે
શિકરા	શિ@@ ક@@ રા
શિકારી	શિ@@ ક@@ ારી
શિક્ષક	શિક્ષ@@ ક
શિક્ષણ	શિક્ષણ
શિક્ષાપત્રી	શિક્ષ@@ ા@@ પ@@ ત્રી
શિખંડી	શિ@@ ખ@@ ંડી
શિખર	શિ@@ ખર
શિણાય	શિ@@ ણા@@ ય
શિનોર	શિ@@ નો@@ ર
શિન્તો	શિ@@ ન્@@ તો
શિમલા	શિ@@ મલા
શિમોગા	શિ@@ મો@@ ગા
શિયાળ	શિયા@@ ળ
શિયાળુ	શિયા@@ ળ@@ ુ
શિયાળો	શિયા@@ ળ ⧺ો
શિરડી	શિ@@ ર@@ ડી
શિરડીના	શિ@@ ર@@ ડી ⧺ના
શિરપુર	શિ@@ રપુર
શિરાજી	શિ@@ રાજ@@ ી
શિરિષ	શિ@@ રિ@@ ષ
શિરોમણી	શિ@@ રો@@ મ@@ ણી
શિલોંગ	શિ@@ લો@@ ંગ
શિવ	શિવ
શિવકુમાર	શિવ@@ કુમાર
શિવગંગાઇ	શિવ@@ ગંગા@@ ઇ
શિવદાસાની	શિવ@@ દા@@ સા@@ ની
શિવનાથ	શિવ@@ નાથ
શિવનેરી	શિવ@@ નેરી
શિવપુરી	શિવ@@ પુરી
શિવમંદિર	શિવ@@ મંદિર
શિવરાત્રિ	શિવ@@ રા@@ ત્ર@@ િ
શિવરામક્રિષ્ણન	શિવ@@ રામ@@ ક્રિ@@ ષ્ણ@@ ન
શિવલાલ	શિવ@@ લાલ
શિવલીંગી	શિવ@@ લી@@ ંગ@@ ી
શિવસાગર	શિવ@@ સાગર
શિવહર	શિવ@@ હર
શિવાજી	શિ@@ વા@@ જી
શિશુપાલ	શિ@@ શુ@@ પાલ
શિહોરી	શિ@@ હો@@ રી
શીકારપુર	શી@@ કાર@@ પુર
શીખ	શી@@ ખ
શીતપેટી	શી@@ ત@@ પે@@ ટી
શીતળા	શી@@ ત@@ ળા
શીપયાર્ડ	શી@@ પ@@ યા@@ ર્ડ
શીપ્રાગા	શી@@ પ્રા@@ ગા
શીયરર	શ@@ ીય@@ ર@@ ર
શીર્ષક	શી@@ ર્@@ ષ@@ ક
શું	શ@@ ું
શુઇ	શુ@@ ઇ
શુક્ર	શુ@@ ક્@@ ર
શુક્રવાર	શુ@@ ક્ર@@ વાર
શુક્લ	શુ@@ ક્@@ લ
શુદ્ધિકરણ	શુ@@ દ્@@ ધિ@@ કરણ
શુભા	શુ@@ ભા
શુભાંગી	શુ@@ ભા@@ ંગ@@ ી
શૂદ્ર	શ@@ ૂ@@ દ્ર
શૂન્યાવકાશ	શ@@ ૂ@@ ન્યા@@ વ@@ કાશ
શૂલપાણેશ્વર	શ@@ ૂ@@ લ@@ પા@@ ણ@@ ેશ્વર
શૃંગ	શ@@ ૃ@@ ંગ
શૃંગેરી	શ@@ ૃ@@ ંગે@@ રી
શેક્સપીયર	શે@@ ક્@@ સ@@ પ@@ ીય@@ ર
શેખ	શે@@ ખ
શેખપુરા	શે@@ ખ@@ પુરા
શેખર:	શે@@ ખર@@ :
શેખાવત	શે@@ ખા@@ વત
શેખાવાત	શે@@ ખા@@ વા@@ ત
શેટ્ટી	શે@@ ટ્@@ ટી
શેઠ	શે@@ ઠ
શેતાન	શે@@ તાન
શેત્રુંજય	શે@@ ત્ર@@ ુ@@ ં@@ જય
શેત્રુંજી	શે@@ ત્ર@@ ુ@@ ં@@ જી
શેન	શે@@ ન
શેફિલ્ડ	શે@@ ફિલ્@@ ડ
શેમ્પેન	શે@@ મ્@@ પે@@ ન
શેર	શે@@ ર
શેરગિલ	શે@@ ર@@ ગિ@@ લ
શેરડી	શે@@ ર@@ ડી
શેરપુર	શે@@ રપુર
શેરપોઇન્ટ	શે@@ ર@@ પો@@ ઇન્@@ ટ
શેરબજાર	શે@@ રબ@@ જા@@ ર
શેરલોક	શે@@ ર@@ લોક
શેલત	શે@@ લ@@ ત
શેવા	શે@@ વા
શૈક્ષણિક	શૈ@@ ક્ષ@@ ણ@@ િક
શૈલ	શૈ@@ લ
શૈલપુત્રી	શૈ@@ લ@@ પુ@@ ત્રી
શૈલી	શૈ@@ લ ⧺ી
શૈવ	શૈ@@ વ
શો	શ@@ ો
શોણિતપુર	શો@@ ણ@@ િ@@ ત@@ પુર
શોધ	શો@@ ધ
શોબિગી	શો@@ બિ@@ ગી
શોભા	શો@@ ભા
શોર્ટ	શો@@ ર્ટ
શોર્ટેસ્ટ	શો@@ ર્@@ ટે@@ સ્ટ
શોલે	શો@@ લે
શૌર્ય	શ@@ ૌર્ય
શ્મિટ	શ્@@ મિ@@ ટ
શ્યામ	શ્યા@@ મ
શ્યામક	શ્યામ@@ ક
શ્યામજી	શ્યામ@@ જી
શ્યામમુખ	શ્યામ@@ મુ@@ ખ
શ્યામલાલ	શ્યામ@@ લાલ
શ્યામશીર	શ્યામ@@ શી@@ ર
શ્યોપુર	શ@@ ્યો@@ પુર
શ્રવણ	શ્ર@@ વ@@ ણ
શ્રવણબેલગોડા	શ્ર@@ વ@@ ણ@@ બે@@ લ@@ ગો@@ ડા
શ્રાદ્ધ	શ્ર@@ ા@@ દ્ધ
શ્રાવણ	શ્ર@@ ા@@ વ@@ ણ
શ્રાવસ્તી	શ્ર@@ ા@@ વ@@ સ્તી
શ્રી	શ્રી
શ્રીકાંત	શ્રી@@ કાંત
શ્રીકાકુળમ	શ્રી@@ કા@@ કુ@@ ળ@@ મ
શ્રીખંડ	શ્રી@@ ખંડ
શ્રીધરાણી	શ્રી@@ ધ@@ રા@@ ણી
શ્રીનગર	શ્રી@@ નગર
શ્રીનાથ	શ્રી@@ નાથ
શ્રીનાથજી	શ્રી@@ નાથ@@ જી
શ્રીનિવાસ	શ્રી@@ નિવાસ
શ્રીનિવાસન	શ્રી@@ નિ@@ વા@@ સન
શ્રીપાદ	શ્રી@@ પા@@ દ
શ્રીમદ્	શ્રી@@ મદ@@ ્
શ્રીરામ	શ્રી@@ રામ
શ્રીરામપૂર	શ્રી@@ રામ@@ પૂર
શ્રીલંકન	શ્રીલં@@ કન
શ્રીલંકા	શ્રીલંકા
શ્રીલંકાના	શ્રીલંકા ⧺ના
શ્રીલંકાનો	શ્રીલં@@ કા@@ નો
શ્રીહરિકોટા	શ્રી@@ હરિ@@ કો@@ ટા
શ્રુતકીર્તિ	શ્ર@@ ુ@@ ત@@ કી@@ ર્તિ
શ્રુતિ	શ્ર@@ ુ@@ તિ
શ્રેણી	શ્રેણી
શ્રેયા	શ્રે@@ યા
શ્રેષ્ઠ	શ્રે@@ ષ્@@ ઠ
શ્રોફ	શ્ર@@ ો@@ ફ
શ્વાઇન્ગર	શ્@@ વા@@ ઇન્@@ ગર
શ્વાનાસન	શ્@@ વા@@ ના@@ સન
શ્વાર્ઝેનેગર	શ્@@ વા@@ ર્@@ ઝે@@ ને@@ ગર
શ્વેત	શ્વે@@ ત
શ્વેતા	શ્વે@@ તા
શ્વેતાંબર	શ્વે@@ તા@@ ં@@ બર
સંકુલ	સં@@ કુ@@ લ
સંકેતલિપિ	સં@@ કે@@ ત@@ લિપિ
સંક્રાંતિ	સં@@ ક્ર@@ ાંતિ
સંક્ષિપ્ત	સં@@ ક્ષિ@@ પ્ત
સંખેડા	સં@@ ખેડા
સંખ્યા	સં@@ ખ@@ ્યા
સંગઠન	સંગ@@ ઠ@@ ન
સંગણક	સંગ@@ ણ@@ ક
સંગરુર	સંગ@@ રુ@@ ર
સંગીત	સંગીત
સંગીતકાર	સંગ@@ ી@@ ત@@ કાર
સંગ્રહાલય	સંગ્રહાલય
સંગ્રહાલય,	સંગ્રહા@@ લય@@ ,
સંગ્રામ	સંગ@@ ્રા@@ મ
સંઘ	સં@@ ઘ
સંઘડ	સં@@ ઘ@@ ડ
સંઘર્ષ	સં@@ ઘ@@ ર્@@ ષ
સંઘર્ષો	સં@@ ઘ@@ ર્@@ ષ ⧺ો
સંઘવી	સં@@ ઘ@@ વી
સંચય	સં@@ ચ@@ ય
સંચળ	સં@@ ચ@@ ળ
સંજય	સં@@ જય
સંજાણ	સં@@ જા@@ ણ
સંજીવ	સં@@ જી@@ વ
સંજુ	સં@@ જ@@ ુ
સંજેલી	સં@@ જે@@ લી
સંજ્ઞા	સં@@ જ્ઞ@@ ા
સંત	સંત
સંતરામપુર	સં@@ ત@@ રામ@@ પુર
સંતરુ	સં@@ તર@@ ુ
સંતોષ	સં@@ તો@@ ષ
સંથાલ	સં@@ થા@@ લ
સંથાલી	સં@@ થા@@ લ ⧺ી
સંદર્ભ	સંદર્ભ
સંદિગ્ધ	સ@@ ંદિ@@ ગ્@@ ધ
સંદિપ	સ@@ ંદિ@@ પ
સંદીપ	સંદ@@ ી@@ પ
સંદેશ	સ@@ ંદે@@ શ
સંદેશા	સ@@ ંદે@@ શા
સંદેશાવ્યવહાર	સ@@ ંદે@@ શા@@ વ્યવ@@ હાર
સંધિ	સં@@ ધ@@ િ
સંધિપાદ	સં@@ ધિ@@ પા@@ દ
સંન્યાસ	સં@@ ન્યા@@ સ
સંપત	સં@@ પત
સંપત્તિ	સં@@ પ@@ ત્@@ તિ
સંપદા	સં@@ પ@@ દા
સંપાદકનો	સં@@ પા@@ દ@@ ક@@ નો
સંપાદન	સં@@ પા@@ દન
સંપૂર્ણાનંદ	સં@@ પૂર્@@ ણા@@ નંદ
સંપ્રદાય	સંપ્રદાય
સંપ્રદાયો	સંપ્રદાય ⧺ો
સંબંધિત	સં@@ બં@@ ધિ@@ ત
સંબલપુર	સં@@ બ@@ લપુર
સંભલ	સં@@ ભ@@ લ
સંભવનાથ	સં@@ ભવ@@ નાથ
સંભાર	સં@@ ભા@@ ર
સંભાષણ	સં@@ ભાષ@@ ણ
સંયુક્ત	સં@@ યુ@@ ક્ત
સંરક્ષણ	સં@@ ર@@ ક્ષ@@ ણ
સંરક્ષણનો	સં@@ ર@@ ક્ષ@@ ણ@@ નો
સંરક્ષિત	સં@@ ર@@ ક્ષિ@@ ત
સંરચના	સં@@ ર@@ ચ@@ ના
સંવત	સં@@ વત
સંવત્સરી	સં@@ વ@@ ત્સ@@ રી
સંવર્ધન	સં@@ વર્@@ ધન
સંશયવાદ	સં@@ શ@@ ય@@ વાદ
સંશોધન	સં@@ શો@@ ધન
સંસદ	સં@@ સદ
સંસદીય	સં@@ સ@@ દ@@ ીય
સંસ્કરણો	સંસ્@@ કર@@ ણ@@ ો
સંસ્કાર	સં@@ સ્કાર
સંસ્કૃત	સંસ્કૃત
સંસ્કૃતિ	સંસ્કૃતિ
સંસ્કૃતિનાં	સંસ્કૃ@@ તિ@@ નાં
સંસ્થા	સંસ્થા
સંસ્થાઓ	સં@@ સ્થ@@ ાઓ
સંસ્થાન	સં@@ સ્થાન
સંહિતા	સંહિતા
સંહિતાની	સંહિ@@ તા@@ ની
સઆદત	સ@@ આ@@ દ@@ ત
સઇ	સ@@ ઇ
સઇહા	સ@@ ઇ@@ હા
સક્કરબાગ	સ@@ ક્@@ કર@@ બાગ
સક્રિય	સ@@ ક્રિ@@ ય
સગરમાથા	સ@@ ગ@@ રમા@@ થા
સગર્ભાવસ્થા	સ@@ ગ@@ ર્@@ ભાવ@@ સ્થા
સચલ	સ@@ ચલ
સચિન	સ@@ ચિ@@ ન
સચિન-જીગર	સ@@ ચિ@@ ન@@ -@@ જી@@ ગર
સચીન	સ@@ ચીન
સચોકરી	સ@@ ચો@@ કરી
સચ્ચિદાનંદ	સ@@ ચ્@@ ચિ@@ દા@@ નંદ
સજ્જતા	સ@@ જ્@@ જ@@ તા
સટાણા	સ@@ ટા@@ ણા
સટ્ટાખોરી	સ@@ ટ્@@ ટા@@ ખો@@ રી
સટ્ટાબાજી	સ@@ ટ્@@ ટા@@ બા@@ જી
સડક	સ@@ ડ@@ ક
સણોસરા	સ@@ ણો@@ સરા
સણોસરી	સ@@ ણો@@ સ@@ રી
સતના	સ@@ ત@@ ના
સત્તા	સ@@ ત્@@ તા
સત્તામંડળ	સ@@ ત્@@ તા@@ મંડ@@ ળ
સત્તાવાર	સ@@ ત્તા@@ વાર
સત્ય	સ@@ ત્ય
સત્યજીત	સત્ય@@ જી@@ ત
સત્યના	સ@@ ત્ય ⧺ના
સત્યભામા	સત્ય@@ ભા@@ મા
સત્યયુગ	સત્ય@@ યુ@@ ગ
સત્યવતી	સત્ય@@ વતી
સત્યવાન	સત્ય@@ વાન
સત્યાગ્રહ	સ@@ ત્યા@@ ગ્રહ
સત્યાર્થી	સ@@ ત્યા@@ ર્@@ થી
